Cover_Value	Emax	Emin	Flux	Flux_error	Index	Index_error	Npred	Pref	Pref_error	Scale	Tmax	Tmax_MJD	Tmin	Tmin_MJD	Ts
156	300000.0	100.0	2.98703122956e-07	2.19012504925e-07	-3.37796305694	-1.22352706586	6.05376870799	1.12557585205e-14	4.69881615311e-14	5207.585938	413273550.0	56693.259	413098257.0	56691.23	3.26492120182
156	300000.0	100.0	3.43490587866e-14	0.0	-0.628266298958	-1358.93080611	1.11277799643e-05	5.72496338993e-19	1.83632907898e-15	5207.585938	413448843.0	56695.288	413273550.0	56693.259	-1.63220502145e-05
0	300000.0	100.0	6.83028054097e-09	0.0	-1.46059359732	-0.65495184751	1.55792942509	1.00324442836e-13	1.87171012134e-13	5207.585938	413624136.0	56697.316	413448843.0	56695.288	0.385939252399
0	300000.0	100.0	6.6012777424e-14	0.0	-1.81250884231	-1003.5756714	1.222806823e-05	4.15461845711e-19	3.00700647043e-15	5207.585938	413799429.0	56699.345	413624136.0	56697.316	-1.7093407223e-06
0	300000.0	100.0	7.50031609445e-08	0.0	-6.16373577112	-3.42370214718	7.666112221	1.00207921456e-19	1.24705193734e-19	5207.585938	413974722.0	56701.374	413799429.0	56699.345	1.16000285597
156	300000.0	100.0	1.07203820179e-07	7.57165877208e-08	-4.73282063424	-2.90294412669	10.3932172903	2.98149583521e-17	3.19776936495e-16	5207.585938	414150015.0	56703.403	413974722.0	56701.374	2.81069654772
156	300000.0	100.0	1.11302607471e-10	0.0	-2.73981542973	-22.4212634757	0.0146084382177	3.8284785628e-17	3.76230136184e-13	5207.585938	414325308.0	56705.432	414150015.0	56703.403	0.000128491054056
156	300000.0	100.0	3.46710491606e-14	0.0	-0.940618975527	-1592.29739546	9.46133647895e-06	8.21315129296e-19	3.87992116246e-15	5207.585938	414500601.0	56707.461	414325308.0	56705.432	-9.80660479399e-06
0	300000.0	100.0	5.88066830219e-14	0.0	-1.41459046618	-4.98886495863	1.26554829454e-05	9.43343704209e-19	5.60337257596e-16	5207.585938	414675894.0	56709.49	414500601.0	56707.461	-1.01965270005e-05
0	300000.0	100.0	7.55508579352e-09	0.0	-2.93330759529	-1.93244340493	1.05076364442	1.34348943479e-15	1.05086385662e-14	5207.585938	414851187.0	56711.518	414675894.0	56709.49	0.0301629857349
156	300000.0	100.0	1.43459018756e-07	6.55535745482e-08	-3.46918600435	-0.698595697704	19.0978398082	3.91300794839e-15	9.49810036627e-15	5207.585938	415026480.0	56713.547	414851187.0	56711.518	7.43838280796
0	300000.0	100.0	1.6128692253e-13	0.0	-1.54232101954	-30.1377560518	2.02432635041e-05	1.99465985449e-18	8.2702059579e-16	5207.585938	415201773.0	56715.576	415026480.0	56713.547	-2.23179340537e-05
0	300000.0	100.0	2.05691905415e-08	0.0	-1.83465098844	-0.688285616677	2.54199033175	1.21807169811e-13	1.8543531221e-13	5207.585938	415377066.0	56717.605	415201773.0	56715.576	1.92673357612
0	300000.0	100.0	1.64382712617e-08	0.0	-2.13410717476	-0.853601337662	3.581516102	4.04361000413e-14	8.65770401785e-14	5207.585938	415552359.0	56719.634	415377066.0	56717.605	0.962727669877
0	300000.0	100.0	1.18246984207e-11	0.0	-2.10817930788	-1.6210957664	0.00276492913356	3.14914759506e-17	2.67136981923e-15	5207.585938	415727652.0	56721.663	415552359.0	56719.634	-0.000554269176064
156	300000.0	100.0	1.26591600844e-14	0.0	-1.59865780039	-277.881955155	3.36954992444e-06	1.37657044328e-19	2.0538496857e-16	5207.585938	415902945.0	56723.691	415727652.0	56721.663	-3.30050897901e-06
156	300000.0	100.0	1.90949689435e-14	0.0	-0.351473942815	-4408.48096894	7.84005485778e-06	1.72508741619e-19	7.12048880412e-16	5207.585938	416078238.0	56725.72	415902945.0	56723.691	-1.55470224854e-05
156	300000.0	100.0	2.06290694238e-14	0.0	-1.2681480271	-749.892703211	6.09844156655e-06	4.16727395585e-19	1.39744924936e-15	5207.585938	416253531.0	56727.749	416078238.0	56725.72	-1.18477692013e-06
156	300000.0	100.0	1.66423502176e-07	1.25426190232e-07	-4.02745086665	-2.51635805123	9.79127067642	6.11590714426e-16	5.6799025356e-15	5207.585938	416428824.0	56729.778	416253531.0	56727.749	3.35005992974
156	300000.0	100.0	1.91903867921e-08	0.0	-2.63301479574	-1.62223875009	1.85167040805	9.45181071251e-15	5.41166390326e-14	5207.585938	416604117.0	56731.807	416428824.0	56729.778	0.13199789367
0	300000.0	100.0	8.95689246396e-15	0.0	-1.54484558796	-795.164804791	1.48279795971e-06	1.10152688588e-19	3.38964548357e-16	5207.585938	416779410.0	56733.836	416604117.0	56731.807	-1.01522346085e-06
156	300000.0	100.0	1.69967836655e-14	0.0	-0.793266547955	-3414.78592889	3.62022730359e-06	3.60796123753e-19	3.26572920023e-15	5207.585938	416954703.0	56735.865	416779410.0	56733.836	-6.49705179967e-06
156	300000.0	100.0	2.23296842532e-08	0.0	-5.68065336542	-6.8409568287	1.56163594874	1.82990929409e-19	4.77574042114e-18	5207.585938	417129996.0	56737.893	416954703.0	56735.865	0.0689557367605
156	300000.0	100.0	4.11286770595e-14	0.0	-1.59367230063	-52.4430924611	6.42213469957e-06	4.52495159534e-19	3.07126922872e-16	5207.585938	417305289.0	56739.922	417129996.0	56737.893	-8.54772770253e-06
0	300000.0	100.0	3.36456473372e-08	0.0	-2.34602107286	-0.862626988868	4.22733430993	4.24909052772e-14	9.76943182596e-14	5207.585938	417480582.0	56741.951	417305289.0	56739.922	1.04240465007
156	300000.0	100.0	1.21713881186e-14	0.0	-0.676431209309	-2746.12556731	3.60729795842e-06	2.20218471197e-19	1.41531982952e-15	5207.585938	417655875.0	56743.98	417480582.0	56741.951	-6.68418579153e-06
156	300000.0	100.0	3.14420836165e-08	0.0	-2.75427408068	-1.27223380146	4.07862962601	1.02989807893e-14	4.40064059425e-14	5207.585938	417831168.0	56746.009	417655875.0	56743.98	0.384140676579
0	300000.0	100.0	7.6378851158e-15	0.0	-1.4583714114	-8396.34669342	1.83314674895e-06	1.12682459955e-19	6.56355611029e-16	5207.585938	418006461.0	56748.038	417831168.0	56746.009	-1.98296038434e-06
156	300000.0	100.0	9.82557388372e-08	5.25166717822e-08	-5.76434257392	-2.07823053875	18.9640675001	5.88509527385e-19	4.63183249685e-18	5207.585938	418181754.0	56750.067	418006461.0	56748.038	5.12424738188
0	300000.0	100.0	2.88262740181e-08	0.0	-2.28972385949	-0.705748617995	6.57427096907	4.35795328116e-14	8.09882246351e-14	5207.585938	418357047.0	56752.095	418181754.0	56750.067	1.95614796542
156	300000.0	100.0	6.95810141602e-08	0.0	-2.7223792027	-0.898841033386	9.84552240354	2.53853530399e-14	7.39908864175e-14	5207.585938	418532340.0	56754.124	418357047.0	56752.095	1.69301898888
0	300000.0	100.0	8.41644295885e-08	6.86153806535e-08	-2.44521558944	-0.624926852448	12.0375602496	7.70948071522e-14	1.2338518952e-13	5207.585938	418707633.0	56756.153	418532340.0	56754.124	6.43630491673
156	300000.0	100.0	7.99445259494e-08	5.79915807921e-08	-2.77518020723	-0.713966317024	10.3345657486	2.43955697517e-14	5.43736002074e-14	5207.585938	418882926.0	56758.182	418707633.0	56756.153	3.52269676971
0	300000.0	100.0	1.17124295824e-08	1.80489763917e-08	-1.2399042249	-0.616860534819	2.69368391006	2.44906666492e-13	2.48838240322e-13	5207.585938	419058219.0	56760.211	418882926.0	56758.182	6.48061340189
0	300000.0	100.0	2.05605049374e-07	7.50500897649e-08	-2.73978185831	-0.408870805824	27.5584031112	7.07300450281e-14	9.29255980078e-14	5207.585938	419233512.0	56762.24	419058219.0	56760.211	13.6476941103
0	300000.0	100.0	1.15899140223e-08	2.14333390886e-08	-1.57370481391	-0.812371328461	2.36245081965	1.33545420665e-13	1.39406557354e-13	5207.585938	419408805.0	56764.269	419233512.0	56762.24	6.8001212368
