CatalogName,Assoc_name,RA,Dec,RedShift,SpectrumType,TS,Catalog_Pl_index,PL_index,Prefactor,Scale,Norm,Catalog_alpha,Alpha,Catalog_beta,Beta,Eb,Catalog_flux,flux,Catalog_fluxErr,flux_err,Type
4FGL J1454.0+4927,87GB 145232.0+493854,223.52,49.45,2.085,PowerLaw,19.29,2.575,2.501,1.15094818163034E-13,986.402,0,2.4639,0,0.2678,0,0,8.6008E-11,2.35080721827108E-09,2.171E-11,9.54100676836299E-10,bcu
4FGL J2114.8+2831,B2 2112+28B,318.71,28.52,2.345,PowerLaw,62.76,2.712,2.555,8.78937097447337E-13,713.699,0,2.6697,0,0.1225,0,0,2.4351E-10,8.58224581548361E-09,4.5699E-11,2.06821489056351E-09,fsrq
4FGL J0742.1+4902,GB6 J0742+4900,115.53,49.04,2.312,PowerLaw,96.06,2.266,2.184,8.54350237741044E-14,1661.626,0,1.921,0,0.3818,0,0,1.2779E-10,3.34100824303738E-09,2.7774E-11,8.77748953495028E-10,fsrq
4FGL J1627.3+4758,MG4 J162750+4802,246.84,47.98,2.325,PowerLaw,59.56,2.584,2.635,3.85704625262969E-13,777.265,0,2.4816,0,0.2449,0,0,1.3796E-10,5.24753060047551E-09,2.6495E-11,1.2092126368063E-09,bcu
4FGL J0403.3+2601,OF 200,60.83,26.02,2.109,PowerLaw,26.25,2.586,2.477,4.44880998925549E-13,771.575,0,2.5083,0,0.2787,0,0,1.9624E-10,4.76163733318611E-09,4.0674E-11,1.43392989062133E-09,fsrq
4FGL J0550.3-5733,PKS 0549-575,87.58,-57.55,2.001,PowerLaw,47.07,2.218,2.19,4.66455365069439E-14,1925.88,0,2.2152,0,0.0072,0,0,1.5562E-10,2.55472863213858E-09,3.0398E-11,2.93066128803916E-10,fsrq
4FGL J1321.3-2641,PKS 1318-263,200.33,-26.69,2.027,PowerLaw,47.04,2.586,2.54,3.54913374191045E-13,874.642,0,2.6543,0,-0.087,0,0,1.4377E-10,5.69489652323315E-09,3.3776E-11,1.54713509623603E-09,fsrq
4FGL J2226.8+0051,PKS B2224+006,336.71,0.86,2.262,PowerLaw,53.68,2.543,2.548,5.90481504639429E-13,782.979,0,2.5345,0,0.2381,0,0,2.7003E-10,7.23178076680928E-09,5.4841E-11,2.04325950452173E-09,fsrq
4FGL J0743.0-5622,PMN J0743-5619,115.76,-56.37,2.319,PowerLaw,62.24,2.724,2.757,1.30233099297727E-12,578.16,0,2.6834,0,0.1559,0,0,1.9802E-10,9.37123977729078E-09,3.7436E-11,1.83088282278949E-09,fsrq
4FGL J1402.6-3330,PMN J1402-3334,210.665,-33.504,2.14,LogParabola,97.11,2.758,2.65,5.18867543099268E-14,1968.598,5.5127759122284E-12,2.6534,2.629,0.9845,1.759,478.316,9.2936E-11,5.03854030585697E-09,2.9822E-11,1.14944266396347E-09,fsrq
4FGL J2216.8+3103,S3 2214+30,334.202,31.059,2.462,PowerLaw,30.93,2.577,2.515,3.41890499588181E-13,836.707,0,2.4672,0,0.2224,0,0,1.8921E-10,4.72631366132322E-09,3.7236E-11,1.36707522305444E-09,fsrq
4FGL J1003.4+0205,SDSS J100326.63+020455.6,150.86,2.08,2.075,PowerLaw,59.58,2.028,1.77,1.62628302456635E-14,2852.862,0,1.965,0,0.0659,0,0,1.5067E-10,7.94775429995535E-10,3.1815E-11,3.27730705387449E-10,bcu
4FGL J1057.2+5510,SDSS J105707.47+551032.2,164.31,55.18,2.085,PowerLaw,77.49,1.821,2.059,6.00616800129816E-15,4916.487,0,1.208,0,0.3687,0,0,1.2457E-10,1.72385265197308E-09,2.4504E-11,6.56890963480872E-10,bcu
4FGL J1205.8+3321,SDSS J120542.82+332146.9,181.45,33.35,2.125,PowerLaw,31.14,2.62,2.401,2.90445448624771E-13,744.134,0,2.6304,0,-0.0112,0,0,1.1882E-10,2.5694815693113E-09,2.7072E-11,1.08520261009918E-09,bcu
4FGL J1324.9+4748,TXS 1322+479,201.239,47.808,2.26,PowerLaw,191.98,2.674,2.667,9.60012819012166E-13,694.165,0,2.636,0,0.0553,0,0,2.1298E-10,1.01192533261478E-08,2.9335E-11,1.453135167243E-09,fsrq
4FGL J0806.5+4503,B3 0803+452,121.62,45.06,2.102,PowerLaw,64.98,2.607,2.662,6.22188403883028E-13,690.954,0,2.4926,0,0.1276,0,0,1.4869E-10,6.43482032636962E-09,2.8918E-11,1.22959349800419E-09,fsrq
4FGL J1139.0+4033,CRATES J113903+403303,174.76,40.56,2.36,PowerLaw,157.37,2.72,2.756,1.0530134101479E-12,677.86,0,2.7029,0,0.0854,0,0,1.966E-10,1.17295402582724E-08,3.2812E-11,1.69214651505069E-09,bcu
4FGL J0422.8+0225,PKS 0420+022,65.702,2.427,2.277,LogParabola,80.2,2.831,2.92,1.36660505772345E-13,1326.023,4.81839210275473E-12,2.63,2.669,0.6276,0.63,467.171,1.5701E-10,9.052067849451E-09,5.0246E-11,2.36154595534283E-09,fsrq
4FGL J1351.0+0029,PKS 1348+007,207.75,0.48,2.084,PowerLaw,68.31,2.437,2.389,2.87098060196551E-13,999.886,0,2.3606,0,0.0999,0,0,2.5137E-10,5.0692267232143E-09,3.6546E-11,1.13379111856119E-09,fsrq
4FGL J0004.0+0840,SDSS J000359.23+084138.1,1.007,8.675,2.057,PowerLaw,44.82,2.035,2.003,2.42194392095387E-14,2554.327,0,1.6673,0,0.4691,0,0,1.9186E-10,1.59311303931198E-09,3.5495E-11,6.15360570509282E-10,bcu
4FGL J0625.8-5441,PMN J0625-5438,96.45,-54.69,2.051,PowerLaw,136.92,2.732,2.638,2.45938573162493E-12,499.576,0,2.6795,0,0.0883,0,0,2.0412E-10,1.04744408889284E-08,3.4364E-11,1.41923821418482E-09,fsrq
4FGL J0134.3-3842,PMN J0134-3843,23.588,-38.708,2.14,PowerLaw,134.8,2.49,2.559,4.76095124259403E-13,831.913,0,2.429,0,0.1031,0,0,1.388E-10,6.91500028568056E-09,2.5611E-11,1.02813276412541E-09,fsrq
4FGL J2323.6-0617,TXS 2321-065,350.91,-6.29,2.144,LogParabola,287.43,2.4,2.39,1.01535323519559E-13,2170.227,1.50297734545594E-12,2.2389,2.141,0.1822,0.26,759.235,5.5363E-10,6.27082299483696E-09,5.2952E-11,1.48472285047976E-09,fsrq
4FGL J0208.5-0046,PKS 0205-010,32.13,-0.77,2.025,PowerLaw,106.38,2.326,2.204,1.62463361032988E-13,1277.393,0,2.3319,0,-0.0075,0,0,2.262E-10,3.70822761162639E-09,3.4001E-11,9.83248630492425E-10,bll
4FGL J1521.8+4338,B3 1520+437,230.46,43.63,2.171,PowerLaw,125.54,2.936,2.962,2.97599043028686E-12,419.254,0,2.9083,0,0.0753,0,0,1.3468E-10,1.06065267501314E-08,2.5901E-11,1.62450780370696E-09,fsrq
4FGL J0124.8-0625,PMN J0124-0624,21.21,-6.43,2.117,PowerLaw,71.82,2.214,2.141,9.00599018894359E-14,1539.09,0,2.1887,0,0.0612,0,0,2.4919E-10,2.75047064066826E-09,3.608E-11,8.0517790937172E-10,bll
4FGL J1158.5+4824,GB1 1155+486,179.63,48.41,2.028,PowerLaw,291.97,2.443,2.472,5.70218441752228E-13,946.6,0,2.4254,0,0.0326,0,0,3.0314E-10,1.00392688610052E-08,3.4186E-11,1.23591396760019E-09,fsrq
4FGL J2248.7-3235,PKS 2245-328,342.19,-32.59,2.268,PowerLaw,301.13,2.761,2.679,4.31290402181901E-12,446.753,0,2.7357,0,0.0379,0,0,2.5856E-10,1.41883146062644E-08,3.3314E-11,1.45420034696462E-09,fsrq
4FGL J1736.6+0628,MG1 J173624+0632,264.17,6.47,2.387,PowerLaw,135.55,2.629,2.638,1.06712389309555E-12,808.447,0,2.618,0,0.0369,0,0,4.2289E-10,1.61761619608544E-08,5.3562E-11,2.26540537145771E-09,fsrq
4FGL J0039.0-0946,TXS 0036-099,9.75,-9.78,2.1015,PowerLaw,158.68,2.69,2.824,2.39860912706247E-12,506.608,0,2.6325,0,0.098,0,0,2.3315E-10,1.28761857923663E-08,3.5129E-11,1.55173719668017E-09,fsrq
4FGL J1119.0+1235,OM 127,169.76,12.58,2.125651,LogParabola,319.3,2.586,2.51,2.41725530445741E-14,3659.72,3.72217602243049E-12,2.4052,2.175,0.2294,0.333,537.596,4.0896E-10,8.20275194661586E-09,4.415E-11,1.12653597665092E-09,fsrq
4FGL J2108.5+1434,OX 110,317.14,14.58,2.017,PowerLaw,180.09,2.765,2.709,4.60405851998055E-12,451.954,0,2.6969,0,0.1728,0,0,3.0729E-10,1.60696210909493E-08,4.3076E-11,1.82063021329792E-09,fsrq
4FGL J1433.0-1801,PKS 1430-178,218.25,-18.01,2.331,LogParabola,84.59,2.597,2.6,5.11634982824468E-15,5207.586,1.899422021821E-12,2.3945,2.445,0.3285,0.205,580.826,3.1672E-10,7.11854683726686E-09,4.9431E-11,1.83107201951501E-09,fsrq
4FGL J1045.8-2928,PKS B1043-291,161.46,-29.47,2.128,PowerLaw,185.4,2.544,2.57,1.04109329511783E-12,757.754,0,2.4986,0,0.0862,0,0,3.3747E-10,1.21022720498565E-08,4.1563E-11,1.60609817712698E-09,fsrq
